Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4626,4626,0,0.052,463.642,5.813,0,0,0,15,1,-10921639,40.043,44,0,50,29992,12.611,20.869,0.174,0.940
ID4692,4692,0,0.055,463.717,11.699,0,1,1,15,1,-10921639,44.862,45,37,52,33602,2.115,33.185,0.149,5.512
ID4755,4755,0,0.053,464.747,11.802,0,2,2,15,1,-10921639,44.466,44,36,51,33305,2.212,32.842,0.147,5.160
ID4817,4817,0,0.051,464.554,7.400,0,3,3,15,1,-10921639,41.093,44,0,50,30779,10.690,26.401,0.177,1.156
ID4880,4880,0,0.065,465.000,0.000,0,4,4,15,1,-10921639,30.769,44,0,51,23046,19.981,9.788,0.118,0.324
ID4944,4944,0,0.057,464.000,0.000,0,5,5,15,1,-10921639,30.429,43,0,50,22791,19.783,9.691,0.112,0.311
ID5075,5075,0,0.054,461.000,0.000,0,6,6,15,1,-10921639,30.379,43,0,49,22754,19.768,9.872,0.112,0.310
ID5011,5011,0,0.050,460.000,0.000,0,7,7,15,1,-10921639,30.256,43,0,50,22662,19.688,9.631,0.110,0.304
ID5144,5144,0,0.045,457.153,14.442,0,8,8,15,1,-10921639,44.023,44,41,49,32973,1.474,38.469,0.117,6.236
ID5209,5209,0,0.042,454.891,15.127,0,9,9,15,1,-10921639,43.829,44,41,49,32828,1.541,39.403,0.101,5.201
ID5271,5271,0,0.045,454.753,17.329,0,10,10,15,1,-10921639,43.777,44,41,49,32789,1.490,44.698,0.080,4.332
ID5335,5335,0,0.043,453.836,20.873,0,11,11,15,1,-10921639,43.603,43,40,49,32659,1.514,52.878,0.040,2.209
ID5399,5399,0,0.047,454.545,22.787,0,12,12,15,1,-10921639,43.555,43,40,48,32623,1.563,57.000,0.027,1.455
ID5528,5528,0,0.042,453.195,23.935,0,13,13,15,1,-10921639,43.370,43,39,48,32484,1.476,57.000,0.018,1.062
ID4627,4627,1,0.110,204.563,29.365,0,0,0,15,1,-10921639,46.019,45,40,56,34468,3.312,19.825,0.050,1.311
ID4693,4693,1,0.108,203.959,29.725,0,1,1,15,1,-10921639,45.810,45,40,54,34312,3.246,15.881,0.048,1.301
ID4756,4756,1,0.106,203.081,29.289,0,2,2,15,1,-10921639,45.697,45,40,54,34227,3.190,17.246,0.048,1.312
ID4818,4818,1,0.114,202.713,30.773,0,3,3,15,1,-10921639,46.012,45,40,55,34463,3.494,16.106,0.052,1.291
ID4881,4881,1,0.109,203.085,30.115,0,4,4,15,1,-10921639,45.802,45,39,56,34306,3.183,15.698,0.050,1.377
ID4945,4945,1,0.155,201.895,30.677,0,5,5,15,1,-10921639,48.138,47,40,61,36055,4.817,15.746,0.073,1.357
ID5077,5077,1,0.238,199.668,33.016,0,6,6,15,1,-10921639,52.447,50,42,71,39283,7.543,15.631,0.112,1.397
ID5013,5013,1,0.223,198.864,33.445,0,7,7,15,1,-10921639,51.370,49,41,69,38476,7.217,15.804,0.104,1.337
ID5145,5145,1,0.204,197.585,33.095,0,8,8,15,1,-10921639,50.230,49,40,68,37622,6.540,15.594,0.096,1.344
ID5210,5210,1,0.186,197.536,34.615,0,9,9,15,1,-10921639,49.383,48,38,66,36988,6.122,15.973,0.087,1.294
ID5272,5272,1,0.171,195.782,33.846,0,10,10,15,1,-10921639,48.514,47,41,64,36337,5.507,15.723,0.080,1.308
ID5336,5336,1,0.160,193.378,35.936,0,11,11,15,1,-10921639,47.864,46,40,63,35850,5.211,15.632,0.075,1.283
ID5400,5400,1,0.155,192.387,36.881,0,12,12,15,1,-10921639,47.593,46,40,62,35647,5.094,15.444,0.072,1.253
ID5529,5529,1,0.148,191.750,37.675,0,13,13,15,1,-10921639,47.166,46,39,60,35327,4.884,15.657,0.068,1.238
ID5595,5595,1,0.139,192.250,38.885,0,14,14,15,1,-10921639,46.668,45,40,62,34954,4.585,15.821,0.063,1.215
ID5463,5463,1,0.127,191.635,36.581,0,15,15,15,1,-10921639,46.196,45,39,61,34601,4.171,16.210,0.058,1.204
ID5658,5658,1,0.121,189.575,35.961,0,16,16,15,1,-10921639,45.911,45,40,57,34387,3.799,15.859,0.055,1.258
ID5722,5722,1,0.139,189.155,36.651,0,17,17,15,1,-10921639,46.702,46,40,59,34980,4.473,16.036,0.065,1.278
ID5793,5793,1,0.157,189.138,37.716,0,18,18,15,1,-10921639,47.668,46,39,64,35703,5.037,15.363,0.073,1.295
ID5861,5861,1,0.155,190.288,36.490,0,19,19,15,1,-10921639,47.451,46,40,61,35541,4.988,15.838,0.073,1.288
ID5927,5927,1,0.159,191.371,36.451,0,20,20,15,1,-10921639,47.861,46,40,63,35848,4.961,15.862,0.076,1.365
ID5992,5992,1,0.176,191.472,37.098,0,21,21,15,1,-10921639,48.482,47,40,64,36313,5.784,15.742,0.082,1.276
