Time,Track 0,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28,Track 29,Track 30,Track 31,Track 32,Track 33,Track 34,Track 35,Track 36,Track 37,Track 38,Track 39,Track 40,Track 41,Track 42,Track 43,Track 44,Track 45,Track 46,Track 47,Track 48,Track 49,Track 50,Track 51,Track 52,Track 53,Track 54,Track 55,Track 56,Track 57,Track 58,Track 59,Track 60,Track 61,Track 62,Track 63,Track 64,Track 65,Track 66,Track 67,Track 68,Track 69,Track 70,Track 71,Track 72,Track 73,Track 74,Track 75,Track 76,Track 77,Track 78,Track 79,Track 80,Track 81,Track 82,Track 83,Track 84,Track 85,Track 86,Track 87,Track 88,Track 89,Track 90,Track 91,Track 92,Track 93,Track 94,Track 95,Track 96,Track 97,Track 98,Track 99,Track 100,Track 101,Track 102,Track 103,Track 104,Track 105,Track 106,Track 107,Track 108,Track 109,Track 110,Track 111,Track 112,Track 113,Track 114,Track 115,Track 116,Track 117,Track 118,Track 119,Track 120,Track 121,Track 122,Track 123,Track 124,Track 125,Track 126,Track 127,Track 128,Track 129,Track 130,Track 131,Track 132,Track 133,Track 134,Track 135,Track 136,Track 137,Track 138,Track 139,Track 140,Track 141,Track 142,Track 143,Track 144,Track 145,Track 146,Track 147,Track 148,Track 149,Track 150,Track 151,Track 152,Track 153,Track 154,Track 155,Track 156,Track 157,Track 158,Track 159,Track 160,Track 161,Track 162,Track 163,Track 164,Track 165,Track 166,Track 167,Track 168,Track 169,Track 170,Track 171,Track 172,Track 173,Track 174,Track 175,Track 176,Track 177,Track 178,Track 179,Track 180,Track 181,Track 182,Track 183,Track 184,Track 185,Track 186,Track 187,Track 188,Track 189,Track 190,Track 191,Track 192,Track 193,Track 194,Track 195,Track 196,Track 197,Track 198,Track 199,Track 200,Track 201,Track 202,Track 203,Track 204,Track 205,Track 206,Track 207,Track 208,Track 209,Track 210,Track 211,Track 212,Track 213,Track 214,Track 215,Track 216,Track 217,Track 218,Track 219,Track 220,Track 221,Track 222,Track 223,Track 224,Track 225,Track 226,Track 227,Track 228,Track 229,Track 230
0,40.043,46.019,44.844,44.971,45.437,48.81,48.023,47.661,45.534,47.235,48.653,47.131,47.877,47.212,47.26,47.652,47.565,46.602,45.041,49.565,48.151,51.284,48.852,45.733,46.77,47.471,47.633,47.961,44.175,43.754,49.66,46.88,48.728,48.136,47.79,45.582,46.101,51.363,47.093,-,46.28,47.478,59.449,48.773,52.382,46.525,50.372,48.834,45.279,46.778,49.553,47.306,47.343,47.529,48.883,44.322,46.463,51.891,44.77,32.952,-,-,44.722,44.413,-,42.314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,44.862,45.81,44.722,44.562,45.391,48.04,47.689,47.495,45.614,47.239,48.238,47.065,48.2,47.34,47.067,48.582,47.85,46.494,44.915,49.446,48.021,51.109,48.753,45.606,46.622,47.628,47.324,47.973,44.123,43.749,49.056,47.312,48.393,48.04,47.923,45.267,45.952,51.348,47.016,-,46.724,47.534,57.458,48.327,54.618,46.61,49.81,49.23,45.21,47.375,49.438,47.206,47.586,47.178,48.672,49.806,46.328,50.813,44.538,32.869,-,-,44.555,44.486,-,42.187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,44.466,45.697,44.973,44.661,45.806,47.702,47.514,47.053,45.525,47.017,48.216,46.797,47.798,47.481,47.236,50.14,50.502,46.219,45.067,49.223,48.028,50.591,48.705,45.633,46.662,47.838,47.348,47.717,43.883,43.619,48.784,46.883,49.065,48.22,47.714,45.128,45.765,51.247,47.299,47.486,47.15,47.26,56.525,47.92,53.136,46.505,49.429,50.012,44.913,46.891,48.931,46.971,47.435,47.318,48.761,50.036,46.394,49.975,44.602,32.756,-,-,44.117,-,-,42.091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,41.093,46.012,44.737,44.61,45.67,47.235,47.486,46.806,45.51,47.21,47.953,46.852,47.059,47.314,47.955,49.928,50.553,46.394,48.332,48.935,47.869,49.808,48.78,45.531,46.489,47.977,47.256,47.788,43.907,43.766,48.347,46.68,51.015,47.901,47.668,45.048,45.69,51.115,47.093,47.641,46.988,47.207,55.614,47.77,51.515,46.563,49.911,51.015,44.74,46.9,49.854,47.008,49.477,47.14,48.276,48.405,46.442,49.857,44.523,32.976,28.908,-,-,44.327,46.195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,30.769,45.802,44.754,44.893,45.617,46.927,47.553,46.846,45.517,47.287,47.441,46.846,46.919,47.745,48.861,49.36,50.322,46.167,49.364,48.785,48.065,49.035,48.477,45.459,46.53,48.093,47.196,47.485,-,-,47.757,46.542,51.232,47.84,47.583,45.096,45.896,50.844,46.979,47.523,46.603,47.312,53.928,47.583,50.525,46.417,49.728,61.316,44.777,47.9,50.288,47.023,52.697,47.478,47.82,47.708,46.188,50.995,44.443,33.531,29.587,46.406,45.151,44.354,48.873,42.138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,30.429,48.138,44.657,44.991,45.686,46.677,47.244,46.756,45.411,47.195,46.848,46.662,46.498,48.095,50.037,48.644,49.8,46.117,48.342,48.933,48.134,48.729,48.593,45.331,46.53,48.234,47.035,47.541,-,43.818,47.36,46.752,50.371,47.837,47.247,45.025,45.637,50.857,46.776,47.594,46.037,47.101,52.8,47.347,49.549,46.433,49.453,61.442,44.892,54.992,49.796,46.925,52.442,47.941,47.971,46.931,46.187,49.977,44.415,33.579,29.724,47.079,45.344,44.267,49.223,42.275,46.955,48.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,30.379,52.447,44.736,47.292,47.698,46.323,47.163,46.601,45.328,47.167,46.494,46.578,46.316,48.587,49.322,48.162,49.215,45.987,47.726,49.597,48.196,48.024,48.36,45.2,-,48.068,46.952,47.383,43.762,43.838,47.267,46.883,50.36,47.907,47.246,45.119,45.67,50.724,46.768,47.919,45.94,47.113,52.67,47.121,48.798,46.296,48.985,59.518,45.27,56.343,49.26,46.441,50.606,47.367,47.893,46.501,45.971,48.92,44.417,33.924,29.626,46.881,44.961,44.371,48.634,-,47.021,49.057,47.865,30.443,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,30.256,51.37,44.311,48.096,48.284,46.574,46.844,46.634,45.402,46.828,46.101,46.348,46.242,48.846,48.701,47.738,48.979,46.009,47.079,52.577,49.25,48.322,48.304,45.172,-,47.84,46.83,47.111,43.706,43.636,-,49.495,50.371,47.794,47.152,44.932,45.555,50.652,46.462,-,45.802,46.845,51.713,47.242,48.3,46.395,48.761,57.976,45.426,54.487,48.716,46.657,49.545,47.108,47.502,46.2,46.049,47.92,44.34,33.717,29.304,46.413,-,44.22,48.174,-,-,48.804,48.438,30.997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,44.023,50.23,44.243,48.513,48.694,47.091,46.606,46.55,45.641,46.674,46.158,46.583,45.664,48.668,48.31,47.593,48.746,-,46.757,57.115,50.98,49.423,48.26,45.039,46.692,47.887,46.714,47.196,-,-,-,54.362,50.514,48.347,47.3,45.067,45.423,50.549,46.766,-,45.538,46.973,51.107,47.142,47.757,46.179,48.335,56.439,45.462,52.86,48.611,46.446,48.517,47.127,47.542,45.861,45.899,47.559,44.389,33.531,29.138,46.445,-,44.328,47.785,-,46.969,48.135,49.597,-,44.682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,43.829,49.383,44.427,47.765,48.085,46.73,46.503,46.489,45.479,46.53,45.83,46.467,45.232,48.666,47.913,47.276,48.35,45.837,46.457,57.031,51.011,49.706,48.24,44.937,46.393,47.812,47.682,47.259,-,-,-,54.741,49.949,50.214,47.383,45.142,45.308,50.559,47.375,-,-,46.838,50.69,47.336,47.65,47.096,48.227,55.342,45.256,51.447,48.23,46.347,47.876,47.096,47.276,45.833,-,47.553,44.403,33.503,28.848,46.331,-,44.363,47.458,-,46.721,47.738,50.004,-,45.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
